"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2346368.7150838","4301675.97765363","5418994.41340782","5083798.88268156","12603351.9553073","10955307.2625698","5977653.63128492","13217877.0949721","10698324.0223464","13491620.1117318","10484445.2051341","14748398.9172834","15418994.4134078","17039106.1452514","15586592.1787709","22234636.8715084","24748603.3519553","22234636.8715084","28033965.2892619","25039812.483753","25115352.9678508","22090408.469512","13124844.5770209","11257480.5421084","6662704.65490051","7219782.46248859","10162497.4460018","13704228.2673985",
"Africa Eastern and Southern","AFE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","799125106.424201","1048803106.9485","1137485449.20188","1292009141.59502","1299869372.97547","1491932851.44694","1684971621.55191","1799314104.36434","1848738490.13395","2068827091.47377","1749041250.25657","1601670744.02383","1739692613.52358","1862379164.83734","2001100612.25183","2088188185.77111","2737851443.72199","2805684674.02644",
"Afghanistan","AFG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109445927.847955","119214754.553334","191027169.339322","209492976.121521","124681457.357613","137313518.622133","115737501.699786","82152250.3401322","77926450.1819092","57790520.1879673","73258421.6027471","53748200.2138669","54766062.1944906","","",
"Africa Western and Central","AFW","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539494432.567431","712253030.518646","680563464.721296","748871898.805964","1115196536.13115","1013697707.72447","1205967468.74894","1267123019.81698","1093931017.11952","1044072584.46367","1266181831.4542","1312760082.31867","1282945909.82761","1071501648.66519","990745266.454151","",
"Angola","AGO","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14039000","10726000","","","34012000","35122000","40629829.61","33207031.44","20933695.38","37093889.76","30172000","21658540","24470350","30919540","20680180","12353060","31756270","22333790",
"Albania","ALB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7900000","11000000","11400000","15110000","25600000","20900000","31200000","32940000","49106937.4474251","75511153.7426181","74350367.5956804","53794733.7923186","70430000","163488342.800129","161291707.016704","106284123.441558","108251150.127096","156040981.458777","183086084.24397","164437355.451762","112051529.490962","125847930.271853","98718673.0853592","80746258.8037545","108058262.38528","82596607.7851557","114601006.022367","163589531.142993",
"Andorra","AND","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78707564.3808347","86293356.8019219","95306904.4734584","",
"Arab World","ARB","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3559401384.6581","6108478355.28443","7818992594.31702","10719939533.999","11088945794.2748","8121955839.92293","8489229399.58318","8845340290.20802","8610212224.53785","9029616351.23559","8016907362.11695","8174154310.8597","7758139985.31596","10300661285.7666","11633517917.4178","12776637841.6469","11987333271.1277","14070577150.8209",
"United Arab Emirates","ARE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197100000","230600000","272900000","328300000","375600000","313900000","259285752.455922","245626704.275248","286006166.793532","318912378.199248","242790000","287490000","317530000","407860000","563434578.863044","806872701.809068","1103562433.90219","1187835367.53885","1410136164.45972","1800882627.12602","1754217566.81462","1730267633.66817","1443464924.46564","1473496949.61781","1634172700.71085","2227687569.82783","2240249776.80126","2090386135.03163","1992576764.01141","2350977584.01714","2770843237.98388",
"Armenia","ARM","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16960000","8470000","11030000","18950000","14330000","25649700","32267500","16951900","30191000","26835500","26659900","40109200","49259400","53964227.6605815","83972576.8434135","111605362.587547","94282700","127498365.954043","101774151.249817","97714200.8555005","110518724.583312","129826001.960323","130547655.885851","173069959.896314","211634865.147452","235757208.190186","261674737.761508","328452932.871096","382373107.873803","711382753.370889",
"American Samoa","ASM","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16492592.5925926","17359259.2592593","17237037.037037","25907407.4074074","33925925.9259259","38077777.7777778","28174074.0740741","18333333.3333333","15889629.6296296","9880000","8830370.37037037","8055925.92592593","8055925.92592593","8055925.92592593","18767564.8148148","18898724.8148148","15200900","7112727.03703704","7342564.81481481","8244866.2962963","8492432.96296296","8033616.12962963","8356514.8","8539110.28118518","8709583.18310518","7437074.88414815","7407326.58461156","5081242.96945556","5070498.44653504","5018779.36238037",
"Australia","AUS","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","664090282.691727","613282386.736893","646191066.854674","644291536.799322","706527972.519809","965233236.451711","1077822727.60048","1211306995.09982","1212114150.87613","824442592.361304","1023371439.92641","1203524652.34724","1314051733.94767","1249805388.68181","1410615342.68256","1687175360.79602","1796369725.27719","1689820167.45343","1865989121.80636","2118316624.84296","2196301156.83907","2336607022.16147","2400848354.44005","2291322901.5546","2454143520.13958","2746192017.69368","3288784142.23286","3592313436.30529","3547295096.97807","4496859901.78953","5180078727.94708",
"Austria","AUT","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2243325417.53712","2986297544.09863","3567767446.00493","4165226367.31123","3883571611.50616","3688627276.91197","4476130944.08141","5015421887.46896","5808494925.71481","6538081847.65098","5556536343.47046","5797510242.73542","6533569355.90922","7760825846.94139","8506744627.24558","8962945639.39981","9572003868.68688","10459426046.3474",
"Azerbaijan","AZE","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8336000","7514000","12702000","15718000","15844000","16104000","13967000","22559000","22394000","36543000","35708000","3598000","4743000","55376000","81028000","84788000","74563000","95365000","113861000","127119000","86814000","72838000","66296000","78995000","58438000","65155000","96287000","134796000",
"Burundi","BDI","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3034002.78070005","5194988.40775751","14340191.2750006","16896699.6116429","7731479.66524554","3609696.44713409","3164560.98851685","4172133.31122487","","","","",
"Belgium","BEL","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2817593746.47277","3246258108.14718","3679791928.06638","3998183348.11584","4200066002.43254","5973327874.00041","6899477169.27239","7510252767.54464","7650619248.19622","9357154082.16309","9061999122.88767","10680038431.3201","11823125377.3903","10881028435.9377","11030943798.6861","12650184209.2201","14230390004.1392","14045781595.9955","15189746204.6739","17953306626.1905","18444892925.2436",
"Benin","BEN","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3357.41473950671","2507.77174538789","3305.60557155396","","3022.38300442803","360923.396659457","88075.6239682899","97966.8520675017","4644685.19626473","4451150.12549773","5614018.20077413","3758083.11206087","4183281.65281753","3746598.36486564","5627685.69329047","4238680.65120375","5214871.35689737","5403423.06887814","11817950.1651336","2337904.65820529","2343049.10968821","376360.7807705","32969258.6302667","52223812.774954","50394830.2314643","76597952.646586","65919021.4112241","29956274.6482072","28502936.1360407","4538033.8760728","4217472.20561168","17083106.2351735","602843.95910002","9767821.53279246","",
"Burkina Faso","BFA","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","385010.488937276","388572.05758376","2181208.63553736","13979819.3290967","27376525.7198881","52868438.4545533","174120401.677179","81450364.7646444","73508539.4818236","49605339.5423723","42850978.9072969","47763637.8740519","50687932.2782188","58721069.3431332","56948920.9954963","56231101.0801941","61459582.9930697","",
"Bangladesh","BGD","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28882994.4807171","37384864.332497","29363257.9158094","47707316.1946738","24775377.3953744","13339690.9705456","36565461.4830984","74328974.0675347","63035013.4020517","37949366.0208876","90151377.0474736","89069774.4844399","137846290.921478","219814369.087056","313247646.86641","456293261.671748","410689940.903806","381456438.955677","431349776.417421","481790850.410537","623380901.278893","527794045.474725","587843450.249022","511501279.199495","405083022.250769","618499207.742806","720571191.464299",
"Bulgaria","BGR","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25100000","27780000","29361797.660206","50351070.2549563","59349323.6524956","50294263.6184434","59544868.7802387","106590243.610108","172886113.024796","200700568.392875","283790610.770355","439589842.706012","371089561.321997","577870000","748800000","746330000","771260000","901220000","873650000","1087140000","1155380000","1466180000","1849280000","2018120000","2720280000","3020210000",
"Bahrain","BHR","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632446808.510638","637500000","634308510.638298","666489361.702128","699734042.553192","740425531.914894","799468085.106383","626595744.680851","639627659.574468","647074468.085106","651861702.12766","585372340.425532","604521276.595745","760106382.978723","880851063.829787","890957446.808511","907712765.957447","991223404.255319","1409574468.08511",
"Bahamas, The","BHS","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17144064.1039276","28332973.0258492","35002343.927819","44623762.3572718","58593673.0160388","89129392.3897689","101316374.882705","115957374.518798","121564325.627013","126374872.223629","142692704.765424","134007667.978432","126473579.401588","132669531.064756","131685665.070668","126217607.424438","128379895.922391","121460514.223834","136650583.029579","161937337.450145","202510959.590523","229752326.071376","319688217.520016","417422827.909491","407996800.100728",
"Belarus","BLR","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400000","8100000","8800000","17800000","31500000","48600000","47700000","53000000","58500000","70200000","84700000","96600000","116700000","151000000","216600000","301800000","310600000","390300000","457500000","598400000","750300000","903600000","1004700000","1159600000","1456400000","1857100000","2412500000","2700200000","3238862750","",
"Belize","BLZ","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7421500","8968500","10860000","7850000","5400000","7480000","6649382.5","5453242.42","4609540.265","5473183.5","5319262","7529596","8977932.5","12257135.085","11557921.295","15977982.045","13935915.44","12755322.105","12755322.105","10414930","10414930","8555419","26187623.6075","21567411.95","20722707.51","29206236.445","46096800","76419500","91492500",
"Bermuda","BMU","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117640000","108765088.90521","101250868.227404","98551110.4119692","82581972.5449681","78255463.3026216","84652963.6498544","80702164.6105381","64701977.2645762","70809219.968565","68837702.5558321","66722615.9305621","77845628.9798036","79073359.5455592","65251961.6117836","31228223.4671848","",
"Bolivia","BOL","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64200000","51400000","39700000","34500000","31000000","23680000","26130000","32496000","35880000","42088000","55880000","60580000","63560000","63533000","82950000","90842484.4455795","100449422.377533","88750763.723017","80190565.7724649","68870413.3107067","71634100.2149847","85529357.1398237","43855777.0475784","49436385.9187934","53937322.8122005","51148420.35213",
